City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Kavieng,PG,81.46,moderate rain,-2.5744,150.7967,Nusa Island Retreat
15,Vaini,TO,82.56,few clouds,-21.2,-175.2,Keleti Beach Resort
23,Biak,ID,83.48,overcast clouds,-0.9131,122.8766,Penginapan Kim
26,Touros,BR,77.9,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
27,Hilo,US,76.73,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
37,Flic En Flac,MU,81.52,clear sky,-20.2742,57.3631,Hilton Mauritius Resort & Spa
38,Alofi,NU,75.09,light intensity shower rain,-19.0595,-169.9187,Taloa Heights
49,Cabedelo,BR,77.67,clear sky,-6.9811,-34.8339,Hotel Pigalle
53,Kavaratti,IN,80.28,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
62,Champerico,GT,80.04,few clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
63,Mahebourg,MU,81.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
70,Georgetown,MY,85.95,few clouds,5.4112,100.3354,Cititel Penang
71,Avarua,CK,82.45,moderate rain,-21.2078,-159.775,Paradise Inn
75,Port Blair,IN,82.44,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
76,Rikitea,PF,76.48,few clouds,-23.1203,-134.9692,People ThankYou
78,Hobyo,SO,78.35,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
82,Saint-Philippe,RE,80.22,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
83,Carnarvon,AU,78.87,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
85,Bairiki,KI,87.8,light rain,1.3292,172.9752,Tarawa Boutique Hotel
91,Butaritari,KI,83.17,broken clouds,3.0707,172.7902,Isles Sunset Lodge
96,Port Augusta,AU,77.7,scattered clouds,-32.5,137.7667,Majestic Oasis Apartments
103,Bambous Virieux,MU,81.21,light rain,-20.3428,57.7575,Casa Tia Villa
106,Banjar,ID,87.66,overcast clouds,-8.19,114.9675,The Hamsa Resort
110,Cartagena,CO,78.42,clear sky,10.3997,-75.5144,Hotel Colombia Real - Cartagena
113,Souillac,MU,81.36,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
116,Busselton,AU,77.09,clear sky,-33.65,115.3333,Observatory Guest House
119,Grand Gaube,MU,81.37,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
122,Vanimo,PG,83.89,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
124,Nha Trang,VN,78.8,overcast clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
135,Pyay,MM,76.53,scattered clouds,18.8167,95.2167,Shwe Pyi Thar
142,Bubaque,GW,80.98,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
150,Ugoofaaru,MV,82.27,scattered clouds,5.6667,73.0,Ungoofaaru Inn
151,Fare,PF,79.9,moderate rain,-16.7,-151.0167,Maitai Lapita Village Huahine
154,Anito,PH,80.01,broken clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
155,Maceio,BR,76.44,broken clouds,-9.6658,-35.7353,Poutur Pousada
156,Axim,GH,79.11,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
170,Titay,PH,76.73,overcast clouds,7.8125,122.5344,Lumbia Garden Resort
179,Atuona,PF,79.11,clear sky,-9.8,-139.0333,Villa Enata
180,Rawson,AR,79.48,clear sky,-43.3002,-65.1023,Hosteria Sampedro
194,Waingapu,ID,86.4,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
195,Bengkulu,ID,82.69,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
197,Hithadhoo,MV,82.27,overcast clouds,-0.6,73.0833,Scoop Guest House
211,Carupano,VE,76.64,scattered clouds,10.6678,-63.2585,Hotel La dorada
221,Punta De Piedra,VE,78.64,overcast clouds,7.6176,-71.4916,Casa 7 Punta de Piedra
222,Tabou,CI,78.76,light rain,4.423,-7.3528,hotêl doufoulougou
223,Poum,NC,82.63,clear sky,-20.2333,164.0167,Gîte kajeon
224,Angoche,MZ,75.72,overcast clouds,-16.2325,39.9086,Guest House HESADA
229,Vao,NC,79.02,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
230,Vega De Alatorre,MX,75.36,broken clouds,20.0333,-96.6333,El Polo Norte
232,Sola,VU,84.87,broken clouds,-13.8833,167.55,Leumerus Bungalows
234,Kanniyakumari,IN,80.78,scattered clouds,8.0833,77.5667,Sparsa
238,Gondanglegi,ID,80.35,overcast clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
240,Byron Bay,AU,80.71,overcast clouds,-28.65,153.6167,Backpackers Inn
241,Sao Filipe,CV,76.89,scattered clouds,14.8961,-24.4956,Hotel Xaguate
248,Puerto Carreno,CO,82.49,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
252,Samarai,PG,84.47,overcast clouds,-10.6167,150.6667,Nuli Sapi
262,Amalapuram,IN,80.98,clear sky,16.5833,82.0167,swayamprabha service apartments
263,Camocim,BR,80.78,few clouds,-2.9022,-40.8411,Ilha Praia Hotel
276,Flinders,AU,79.88,heavy intensity rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
279,Kerema,PG,84.9,overcast clouds,-7.9631,145.7785,Frena Lodge
280,Yulara,AU,89.44,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
281,Quatre Cocos,MU,81.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
286,Manaus,BR,77.5,broken clouds,-3.1019,-60.025,Manaus Hotéis Millennium
293,Belmonte,BR,75.7,moderate rain,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
294,Bonoua,CI,82.02,broken clouds,5.2741,-3.595,Hotel Bon Samaritian
296,Sibolga,ID,86.61,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
300,Auki,SB,80.28,overcast clouds,-8.7676,160.7034,Auki Motel
311,Miri,MY,84.34,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
318,Honiara,SB,82.96,moderate rain,-9.4333,159.95,Heritage Park Hotel
323,Faanui,PF,80.78,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
329,Kailua,US,75.18,moderate rain,21.4022,-157.7394,Sheffield House Bed & Breakfast
330,Ishigaki,JP,75.33,scattered clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
339,Grand-Lahou,CI,78.93,clear sky,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
353,Takoradi,GH,79.34,broken clouds,4.8845,-1.7554,Raybow International Hotel
360,Katobu,ID,79.52,overcast clouds,-4.9408,122.5276,La Ode Husein
363,Limbang,MY,86.31,broken clouds,4.75,115.0,Purnama Hotel
366,Koungou,YT,80.31,broken clouds,-12.7336,45.2042,Villa Netibor
369,Dakar,SN,77.88,few clouds,14.6937,-17.4441,Redface Studios Meublés
373,Meulaboh,ID,84.81,few clouds,4.1363,96.1285,Kost Pria
386,San Policarpo,PH,80.49,broken clouds,12.1791,125.5072,Agapita M. Nicart
391,Trat,TH,83.25,light rain,12.5,102.5,สวนหนิง-อัศ
395,Fort Wellington,GY,76.05,overcast clouds,6.4,-57.6,TE'AMO Entertainment Park
396,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
397,Cabiraoan,PH,77.5,broken clouds,18.3238,122.086,Cunanan’s Residence
398,Manadhoo,MV,82.36,scattered clouds,5.7667,73.3833,Reason Inn
399,Cockburn Town,TC,80.55,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
402,Quelimane,MZ,80.55,few clouds,-17.8786,36.8883,Hotel Flamingo
403,Boyolangu,ID,81.03,overcast clouds,-8.1181,111.8935,Yos ega cv
409,Nakambala,ZM,75.88,overcast clouds,-15.8324,27.7799,Staff Area
410,Moroni,KM,80.6,few clouds,-11.7022,43.2551,Hotel les Arcades
412,Sinnamary,GF,77.41,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
415,Sabang,ID,82.51,few clouds,5.8933,95.3214,Hotel Citra
417,Cam Ranh,VN,78.76,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
423,Marsh Harbour,BS,76.8,clear sky,26.5412,-77.0636,Abaco Beach Resort
432,Kattivakkam,IN,82.49,few clouds,13.2167,80.3167,Euronova Freezer
434,Matara,LK,81.86,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
436,Broken Hill,AU,76.71,clear sky,-31.95,141.4333,Royal Exchange Hotel
438,Padang,ID,87.85,broken clouds,-0.9492,100.3543,Mercure Padang
446,Cabatuan,PH,81.34,overcast clouds,10.8794,122.486,MVC Transient Room
451,Kirakira,SB,83.86,overcast clouds,-10.4544,161.9205,SanBiz Lodge
455,Maxixe,MZ,80.42,broken clouds,-23.8597,35.3472,Oceano
456,Buchanan,LR,77.97,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
460,Ixtapa,MX,75.22,clear sky,20.7,-105.2,Hotel Plaza Providencia
467,Cabo San Lucas,MX,76.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
468,Kieta,PG,82.74,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
470,Noumea,NC,87.78,few clouds,-22.2763,166.4572,Hôtel Le Lagon
474,Mapastepec,MX,76.8,scattered clouds,15.4333,-92.9,Hotel San Carlos
476,Dzaoudzi,YT,80.49,broken clouds,-12.7887,45.2699,Le Rocher
477,Ambon,ID,82.54,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
478,Yarada,IN,80.92,haze,17.65,83.2667,Vishranti
482,Kudat,MY,82.33,few clouds,6.8837,116.8477,Dream Garden Hotel
483,Buala,SB,82.47,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
488,Kahului,US,78.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
491,Kawalu,ID,85.95,broken clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
496,Harper,LR,78.42,light rain,4.375,-7.7169,Screensaver
502,Vieques,PR,80.64,scattered clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
505,Hambantota,LK,82.74,few clouds,6.1241,81.1185,Bungalow 63
506,Wajir,KE,76.8,broken clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
510,Langtad,PH,77.76,overcast clouds,10.1857,123.7344,Pulchra Resort
517,Coxim,BR,79.65,scattered clouds,-18.5067,-54.76,Hotel Avenida
520,Cravo Norte,CO,79.72,broken clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
521,Mahanoro,MG,77.88,scattered clouds,-19.9,48.8,BUNGALOW MAHAMANINA
522,Gilbues,BR,77.2,overcast clouds,-9.8317,-45.3439,Hotel Camapuã
523,Xai-Xai,MZ,76.69,light rain,-25.0519,33.6442,Complexo da Familia
524,Coahuayana,MX,81.88,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
526,Jalingo,NG,76.14,overcast clouds,8.8833,11.3667,Debright Motel
527,Gizo,SB,84.87,light rain,-8.103,156.8419,Imagination Island
529,Malindi,KE,79.57,broken clouds,-3.2175,40.1191,African House Resort
531,Kudahuvadhoo,MV,82.67,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
536,Soure,BR,78.93,overcast clouds,-0.7167,-48.5233,Casarão da Amazônia
545,Ipixuna,BR,76.95,moderate rain,-1.7625,-48.8043,Casa da Oscarina
548,Salina Cruz,MX,78.69,clear sky,16.1667,-95.2,Amerik HOTEL
555,Coffs Harbour,AU,83.14,overcast clouds,-30.3,153.1333,Aquajet Motel
559,Saint-Pierre,RE,80.29,broken clouds,-21.3393,55.4781,Lindsey Hôtel
570,Teknaf,BD,80.19,overcast clouds,20.8624,92.3058,Forestry Guesthouse
578,Inhambane,MZ,80.58,broken clouds,-23.865,35.3833,Oceano
579,Ko Samui,TH,89.51,few clouds,9.5357,99.9357,The Passage
588,Kulhudhuffushi,MV,82.62,broken clouds,6.6221,73.07,Haajy Guest House 1
590,Hervey Bay,AU,84.31,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
592,Luwuk,ID,85.05,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
599,Narrabri,AU,81.52,broken clouds,-30.3167,149.7833,Crossroads Hotel
606,Pangai,TO,82.51,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
607,Jardim,BR,77.04,overcast clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
611,Cayenne,GF,76.08,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
612,Iquitos,PE,75.24,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
613,Oriximina,BR,75.61,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
618,Santa Cruz,BO,80.06,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
628,Acarau,BR,80.76,broken clouds,-2.8856,-40.12,castelo pizzaria
629,Puerto Colombia,CO,80.69,clear sky,10.9878,-74.9547,Hotel El Emigrante
630,Libertador General San Martin,AR,78.94,heavy intensity rain,-23.8064,-64.7876,Posada del Sol
636,Saint-Georges,GD,78.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
641,Bandarbeyla,SO,75.04,scattered clouds,9.4942,50.8122,JABIR HOTEL
644,Majene,ID,78.03,moderate rain,-3.5403,118.9707,Kost Putri RABBANI
653,Sampit,ID,82.94,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
656,Panalingaan,PH,84.6,overcast clouds,8.7842,117.4231,I Love Panalingaan View Deck
658,Tautira,PF,84.22,light rain,-17.7333,-149.15,Pension Oaoa
665,Pemangkat,ID,83.61,broken clouds,1.1667,108.9667,Ramah Kost KITA
666,Oranjestad,AW,80.55,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
667,Saint-Joseph,RE,79.21,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
668,Yenagoa,NG,76.17,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
674,Namatanai,PG,79.75,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
678,Lamu,KE,80.82,light rain,-2.2717,40.902,Lamu House
682,Chiang Rai,TH,78.3,clear sky,19.9167,99.9167,Bansaeo Garden and Resort
684,Manokwari,ID,84.0,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
685,Lobito,AO,77.22,overcast clouds,-12.3481,13.5456,Casa Rosa Hotel Residence
688,Tiarei,PF,84.22,overcast clouds,-17.5333,-149.3333,Le Rocher de Tahiti
690,Alice Springs,AU,87.35,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
691,Natal,BR,79.02,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
692,Nuevo Progreso,MX,75.6,broken clouds,23.1667,-97.95,Balneario Rio el Paraiso
693,Atambua,ID,84.65,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
694,Kendari,ID,86.76,overcast clouds,-3.945,122.4989,Hotel Wixel
697,Dingle,PH,81.41,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
698,Gold Coast,AU,86.16,overcast clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
700,Okitipupa,NG,76.03,overcast clouds,6.5047,4.7839,Coastal Hotel & Suites
701,Aden,YE,78.35,few clouds,12.7794,45.0367,Sama Emirate Hotel
